Cell Line Name,Disease Site,Sex,Age,Derived From Site,"European, South",Native American,African,"East Asian, North","European, North","East Asian, South",South Asian
HT-144,Melanoma,Male,29Y,Hypodermis,25.86,0.49,0.0,0.47,73.18,0.0,0.0
HT-29,Colon adenocarcinoma,Female,44Y,Colon,63.24,1.05,1.57,3.24,26.11,0.0,4.8
HT-3,Cervical carcinoma,Female,58Y,Lymph node,37.73,0.0,2.04,3.34,55.35,0.0,1.53
HT-55,Rectal adenocarcinoma,Female,54Y,Rectum,33.83,0.0,1.79,2.4,61.97,0.0,0.0
HT115,Colon carcinoma,Unknown,Unknown,Unknown,31.73,0.04,0.18,1.25,66.59,0.0,0.21
HTC-C3,Thyroid gland anaplastic carcinoma,Female,44Y,Pleural effusion,1.88,0.3,0.77,74.17,0.12,22.11,0.65
HTK-,Osteosarcoma,Female,13Y,"Bone, right femur",59.95,0.0,0.0,0.0,0.0,5.13,34.91
HuCC-T1,Intrahepatic cholangiocarcinoma,Male,56Y,Ascites,10.57,0.0,7.42,82.0,0.0,0.0,0.0
HuG1-N,Gastric tubular adenocarcinoma,Male,55Y,Ascites,1.43,0.2,1.71,75.56,0.0,21.1,0.0
HuH-1,Adult hepatocellular carcinoma,Male,53Y,Liver,0.92,0.87,0.02,80.09,0.0,18.1,0.0
HuH-28,Intrahepatic cholangiocarcinoma,Female,37Y,Liver,1.86,0.0,3.05,84.08,0.0,11.01,0.0
HuH-6,Hepatoblastoma,Male,1Y,Liver,0.0,0.3,0.79,80.92,0.0,17.99,0.0
HuH-6 Clone 5,Hepatoblastoma,Male,1Y,Liver,3.49,1.36,1.77,76.85,0.0,16.52,0.0
Huh-7,Adult hepatocellular carcinoma,Male,57Y,Liver,5.69,0.0,1.56,79.68,0.0,13.08,0.0
HuNS1,Unknown,Male,Age unspecified,Peripheral blood,35.24,1.22,0.0,0.0,56.19,1.71,5.64
HuO-3N1,Osteosarcoma,Female,15Y,Bone,0.24,0.0,1.58,72.02,1.15,23.28,1.73
HuO9,Osteosarcoma,Female,13Y,"Bone, right distal femur",3.83,0.0,2.89,77.77,1.78,13.74,0.0
HuP-T3,Pancreatic adenocarcinoma,Male,66Y,Ascites,0.95,0.0,0.94,78.19,0.0,19.92,0.0
HuP-T4,Pancreatic adenocarcinoma,Male,60Y,Ascites,0.13,0.39,0.0,74.65,0.0,24.82,0.0
HuT 102,Mycosis fungoides,Male,28Y,Lymph node,6.25,0.23,84.86,1.93,6.73,0.0,0.0
HuT 78,Sezary syndrome,Male,53Y,Peripheral blood,28.04,0.76,0.32,2.56,68.01,0.0,0.32
HuTu 80,Duodenal adenocarcinoma,Male,53Y,"Small intestine, duodenum",11.22,0.0,77.36,2.96,8.45,0.0,0.0
IA-LM,Lung large cell carcinoma,Male,68Y,Unknown,1.68,0.29,0.16,82.4,0.0,13.99,1.48
IGR-1,Cutaneous melanoma,Male,42Y,Inguinal lymph node,35.49,0.0,0.53,2.53,60.87,0.0,0.58
IGR-37,Melanoma,Male,26Y,Inguinal lymph node,34.77,0.29,1.28,1.79,61.87,0.0,0.0
IGR-39,Melanoma,Male,26Y,Skin,35.28,1.18,1.8,2.76,58.99,0.0,0.0
IGROV-1,Ovarian endometrioid adenocarcinoma,Female,47Y,Ovary,47.29,0.0,0.69,0.0,46.04,1.43,4.55
IHH-4,Thyroid gland papillary carcinoma,Male,75Y,Left cervical lymph node,2.88,0.0,1.71,73.08,0.89,21.44,0.0
IM-9,Unknown,Female,Age unspecified,Bone marrow,31.43,0.41,0.0,0.0,68.16,0.0,0.0
IM95,Gastric adenocarcinoma,Male,63Y,Stomach,0.0,0.0,0.0,71.45,0.0,28.36,0.19
IMR-32,Neuroblastoma,Male,1Y1M,Abdomen,20.72,0.56,0.0,1.01,73.7,0.0,3.99
IMR-5,Neuroblastoma,Male,1Y1M,Abdomen,19.24,0.86,0.0,0.0,75.37,0.06,4.46
INA-6,Plasma cell myeloma,Male,80Y,Pleural effusion,33.82,0.15,0.46,2.2,63.38,0.0,0.0
IPC-298,Cutaneous melanoma,Female,64Y,Unknown,44.9,0.2,0.17,1.84,52.05,0.0,0.84
Ishikawa (Heraklio) 02 ER-,Endometrial adenocarcinoma,Female,39Y,Endometrium,0.0,0.0,0.0,80.66,0.0,19.33,0.0
IST-MEL1,Melanoma,Male,Adult,Skin,59.56,1.88,1.49,0.0,29.45,1.65,5.96
IST-Mes1,Pleural epithelioid mesothelioma,Female,70Y,Pleural effusion,53.62,0.0,2.78,4.12,38.45,0.0,1.03
IST-Mes2,Pleural epithelioid mesothelioma,Male,71Y,Pleural effusion,51.54,0.1,0.0,2.01,43.48,0.0,2.87
IST-SL1,Lung small cell carcinoma,Male,60Y,Supraclavicular lymph node,63.08,0.0,0.24,0.16,34.83,1.69,0.0
IST-SL2,Lung small cell carcinoma,Male,Age unspecified,Pleural effusion,47.35,0.72,0.3,0.0,46.2,0.93,4.5
J82,Bladder carcinoma,Male,58Y,Urinary bladder,26.21,0.0,0.13,2.62,70.61,0.0,0.42
JAR,Gestational choriocarcinoma,Male,Fetus,Unknown,23.14,0.66,30.11,2.4,42.28,0.0,1.4
JEG-3,Gestational choriocarcinoma,Male,Fetus,Fetal brain,26.16,0.09,0.01,0.97,71.88,0.0,0.9
JeKo-1,Mantle cell lymphoma,Female,78Y,Peripheral blood,2.27,0.0,2.41,63.65,0.0,31.67,0.0
JH-EsoAd1,Barrett adenocarcinoma,Male,66Y,Esophagus,38.99,0.0,0.64,1.94,58.42,0.0,0.0
JHH-1,Hepatitis C infection,Sex unspecified,50Y,Unknown,0.0,0.0,0.0,81.93,0.0,18.06,0.0
JHH-2,Adult hepatocellular carcinoma,Male,56Y,Ascites,0.7,0.24,0.15,82.5,0.0,16.41,0.0
JHH-4,Hepatitis C infection,Male,51Y,Unknown,2.54,0.0,0.12,81.09,0.0,16.25,0.0
JHH-5,Adult hepatocellular carcinoma,Male,50Y,Liver,0.0,0.04,0.41,81.84,0.0,17.72,0.0
JHH-6,Hepatitis C infection,Female,57Y,Unknown,0.43,0.29,0.0,84.12,0.0,15.16,0.0
JHH-7,Adult hepatocellular carcinoma,Male,53Y,Unknown,0.0,0.0,0.0,86.04,0.0,12.59,1.36
JHOC-5,Ovarian clear cell adenocarcinoma,Female,47Y,Ovary,0.0,0.0,0.38,85.18,0.0,14.43,0.0
JHOM-1,Ovarian mucinous adenocarcinoma,Female,88Y,Ovary,0.0,0.0,1.03,82.29,0.0,16.67,0.0
JHOM-2B,Ovarian mucinous adenocarcinoma,Female,56Y,Ovary,0.04,0.7,0.86,79.5,0.0,18.16,0.74
JHOS-2,High grade ovarian serous adenocarcinoma,Female,45Y,Lymph node,0.68,0.18,0.0,83.51,0.0,14.94,0.69
JHOS-3,Ovarian serous adenocarcinoma,Female,48Y,Lymph node,0.0,0.0,0.0,83.55,0.0,16.2,0.24
JHOS-4,High grade ovarian serous adenocarcinoma,Female,44Y,Peritoneum,2.54,0.0,0.71,82.16,0.0,13.28,1.31
JHU-011,Laryngeal squamous cell carcinoma,Male,45Y,Larynx,29.59,0.0,2.03,2.06,66.03,0.0,0.29
JHU-022,Laryngeal squamous cell carcinoma,Male,53Y,Larynx,34.14,0.12,0.81,1.81,63.12,0.0,0.0
JHU-029,Laryngeal squamous cell carcinoma,Male,70Y,Larynx,4.45,0.0,92.58,2.96,0.0,0.0,0.0
JHUEM-1,Endometrial adenocarcinoma,Female,56Y,Endometrium,0.0,0.0,0.0,76.96,0.0,23.04,0.0
JHUEM-2,Endometrial adenocarcinoma,Female,62Y,Endometrium,0.0,0.0,0.0,81.43,0.0,17.67,0.89
JHUEM-3,Endometrial adenocarcinoma,Female,60Y,Endometrium,2.25,0.0,0.23,84.53,0.0,12.99,0.0
JHUEM-7,Endometrial adenocarcinoma,Female,58Y,Endometrium,0.0,0.0,0.0,77.1,0.0,22.67,0.22
JIMT-1,Breast ductal carcinoma,Female,62Y,Pleural effusion,16.59,0.79,3.6,7.75,71.27,0.0,0.0
Jiyoye,EBV-related Burkitt lymphoma,Male,7Y,Ascites,5.16,0.0,92.69,2.15,0.0,0.0,0.0
JJN-3,Plasma cell myeloma,Female,57Y,Bone marrow,32.53,0.0,0.8,2.53,64.14,0.0,0.0
JK-1,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,58Y,Unknown,0.0,0.0,0.0,74.72,0.0,25.28,0.0
JL-1,Pleural epithelioid mesothelioma,Male,54Y,"Lung, pleura",37.42,0.0,0.03,3.05,56.74,0.0,2.74
JM-1,B acute lymphoblastic leukemia,Male,Age unspecified,Peripheral blood,31.71,0.0,0.0,1.68,66.6,0.0,0.0
JMSU-1,Bladder carcinoma,Male,75Y,Ascites,1.75,0.3,1.12,80.58,0.0,16.26,0.0
JSC-1,Primary effusion lymphoma,Male,52Y,Ascites,31.24,0.09,0.79,0.94,65.05,0.0,1.9
Jurkat,Childhood T acute lymphoblastic leukemia,Male,14Y,Peripheral blood,26.45,0.0,0.4,0.13,70.73,1.21,1.08
JURL-MK1,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,73Y,Peripheral blood,57.22,0.0,3.4,1.62,29.18,0.0,8.59
JVM-2,Mantle cell lymphoma,Female,63Y,Peripheral blood,30.59,0.51,0.33,0.25,67.89,0.0,0.43
JVM-3,B-cell prolymphocytic leukemia,Male,73Y,Peripheral blood,27.94,0.22,0.28,1.54,70.02,0.0,0.0
K-562,"Blast phase chronic myelogenous leukemia, BCR-ABL1 positive",Female,53Y,Pleural effusion,42.97,0.0,5.19,8.4,43.44,0.0,0.0
K029AX,Cutaneous melanoma,Unknown,Unknown,Unknown,30.86,0.0,0.32,1.49,67.33,0.0,0.0
K2 [Human melanoma],Melanoma,Unknown,Unknown,Unknown,30.11,0.0,0.06,0.0,67.62,1.34,0.87
K5,Thyroid gland papillary carcinoma,Male,58Y,Thyroid gland,54.17,0.0,1.75,0.0,35.45,1.37,7.25
KALS-1,Glioblastoma,Female,74Y,Brain,1.68,0.0,1.68,78.93,0.0,16.7,1.01
Karpas-1106P,Primary mediastinal (thymic) large B-cell lymphoma,Female,23Y,Pleural effusion,65.12,0.48,1.68,0.25,19.43,1.18,11.86
Karpas-231,Diffuse large B-cell lymphoma,Female,71Y,Peripheral blood,30.33,0.0,0.0,1.09,68.07,0.0,0.51
Karpas-299,"Anaplastic large cell lymphoma, ALK-positive",Male,25Y,Peripheral blood,31.36,0.18,0.22,0.0,67.06,0.0,1.17
Karpas-422,Diffuse large B-cell lymphoma germinal center B-cell type,Female,73Y,Pleural effusion,27.64,0.49,0.0,0.0,71.53,0.0,0.34
Karpas-45,Childhood T acute lymphoblastic leukemia,Male,2Y,Bone marrow,28.16,0.47,0.06,0.03,68.54,0.0,2.75
Karpas-620,Plasma cell myeloma,Female,77Y,Peripheral blood,31.96,0.0,1.6,2.67,63.77,0.0,0.0
Kasumi-1,Childhood acute myeloid leukemia with maturation,Male,7Y,Peripheral blood,1.67,0.0,1.19,74.84,0.0,22.29,0.0
Kasumi-2,Childhood B acute lymphoblastic leukemia,Male,15Y,Bone marrow,0.78,0.35,0.0,80.22,1.01,17.64,0.0
Kasumi-6,Adult acute myeloid leukemia,Male,64Y,Peripheral blood,0.0,0.0,0.79,75.55,0.0,23.65,0.0
KATO III,Down syndrome,Male,57Y,Pleural effusion,0.0,0.0,0.78,78.55,0.06,19.58,1.02
KCI-MOH1,Pancreatic adenocarcinoma,Female,64Y,Pancreas,32.5,0.11,0.0,2.33,65.07,0.0,0.0
KCL-22,"Chronic myelogenous leukemia, BCR-ABL1 positive",Female,32Y,Pleural effusion,0.0,0.5,0.0,75.25,0.0,24.24,0.0
KE-37,Adult T acute lymphoblastic leukemia,Male,27Y,Unknown,30.66,0.41,0.86,0.97,66.92,0.0,0.18
KE-39,Gastric adenocarcinoma,Male,77Y,Lymph node,4.45,0.0,1.5,89.52,0.0,4.53,0.0
KE-97,Unknown,Unknown,Unknown,Unknown,0.0,0.0,0.0,80.49,0.0,19.51,0.0
Kelly,Neuroblastoma,Female,1Y,Brain,33.22,0.0,2.15,2.95,61.68,0.0,0.0
KG-1,Adult acute myeloid leukemia,Male,59Y,Bone marrow,7.34,0.0,84.82,3.33,3.95,0.0,0.57
KG-1-C,Oligodendroglioma,Male,13Y,Brain,6.98,0.0,8.0,84.74,0.0,0.27,0.0
KGN,Ovarian granulosa cell tumor,Female,63Y,"Ovary, ovarian follicle, granulosa cell layer",0.0,0.09,0.0,73.92,0.0,24.17,1.82
KHM-1B,Plasma cell myeloma,Male,53Y,Pleural effusion,4.66,0.0,0.34,77.81,0.0,17.18,0.0
Ki-JK,"Anaplastic large cell lymphoma, ALK-positive",Male,15Y,Pleural effusion,0.97,0.0,0.29,78.51,0.0,20.22,0.0
KINGS-1,Anaplastic astrocytoma,Male,67Y,Brain,0.0,0.0,0.0,73.94,0.0,26.06,0.0
KLE,Endometrial adenocarcinoma,Female,68Y,Endometrium,35.06,0.23,0.19,3.62,60.58,0.0,0.32
KLM-1,Pancreatic ductal adenocarcinoma,Male,Age unspecified,Liver,0.0,0.0,0.52,88.41,0.0,10.63,0.44
KM-H2,Hodgkin lymphoma,Male,37Y,Pleural effusion,1.75,0.0,1.68,78.89,0.0,17.68,0.0
KM12,Colon carcinoma,Male,Age unspecified,Colon,32.97,0.44,0.84,1.48,63.68,0.0,0.59
KMBC-2,Bladder carcinoma,Sex unspecified,Age unspecified,Unknown,0.81,0.61,0.09,77.27,0.0,21.21,0.0
KMH-2,Thyroid gland anaplastic carcinoma,Male,71Y,Thyroid gland,1.41,0.61,1.62,81.17,0.83,14.36,0.0
KMM-1,Plasma cell myeloma,Male,62Y,Unknown,0.0,0.0,0.0,81.62,0.0,17.61,0.77
KMOE-2,Erythroleukemia,Female,2Y,Peripheral blood,0.0,0.02,0.41,78.12,0.23,19.8,1.43
KMRC-1,Clear cell renal cell carcinoma,Male,Adult,Kidney,0.0,0.41,0.0,74.54,0.0,25.05,0.0
KMRC-2,Clear cell renal cell carcinoma,Male,Adult,Kidney,0.0,0.74,0.0,73.3,0.0,25.71,0.24
KMRC-20,Clear cell renal cell carcinoma,Sex unspecified,Age unspecified,Kidney,4.3,0.0,3.3,77.74,0.0,14.66,0.0
KMRC-3,Clear cell renal cell carcinoma,Male,Adult,Kidney,2.47,0.0,1.13,78.77,0.0,17.63,0.0
KMS-11,Plasma cell myeloma,Female,67Y,Pleural effusion,2.81,0.01,4.44,82.62,0.0,10.11,0.0
KMS-12-BM,Plasma cell myeloma,Female,64Y,Bone marrow,2.0,0.0,0.01,81.71,0.0,16.28,0.0
KMS-18,Plasma cell myeloma,Male,60Y,Peripheral blood,0.0,0.0,0.0,81.47,0.0,18.53,0.0
KMS-20,Plasma cell myeloma,Female,65Y,Bone marrow,0.81,0.24,0.0,84.32,0.0,14.3,0.32
KMS-21-BM,Unknown,Sex unspecified,Age unspecified,Unknown,0.0,0.0,0.0,78.63,0.0,21.2,0.16
KMS-26,Plasma cell myeloma,Male,50Y,Pleural effusion,5.08,0.0,1.51,82.18,0.0,11.23,0.0
KMS-27,Plasma cell myeloma,Male,52Y,Peripheral blood,0.0,0.28,0.0,76.27,0.0,23.45,0.0
KMS-28BM,Plasma cell myeloma,Female,77Y,Bone marrow,0.91,0.0,2.75,76.63,0.0,19.7,0.0
KMS-34,Plasma cell myeloma,Female,60Y,Pleural effusion,0.0,0.47,0.0,71.46,0.05,28.03,0.0
KNS-42,Glioblastoma,Male,16Y,"Brain, right fronto-parietal lobe",0.22,0.32,0.0,85.4,0.0,14.06,0.0
KNS-60,Glioblastoma,Male,55Y,Brain,0.73,0.0,0.0,80.41,0.0,18.86,0.0
KNS-62,Lung squamous cell carcinoma,Male,49Y,Brain,5.26,0.0,2.64,85.09,0.0,7.0,0.0
KNS-81,Glioblastoma,Male,65Y,Brain,2.06,1.05,0.61,78.9,0.0,17.38,0.0
KNS-81-FD,Glioblastoma,Male,65Y,Brain,0.0,1.58,0.0,77.83,0.0,20.58,0.0
KO52,Adult acute myeloid leukemia,Male,46Y,Bone marrow,0.49,0.74,0.61,70.18,0.0,27.99,0.0
KON,Floor of mouth squamous cell carcinoma,Male,76Y,Cervical lymph node,0.25,0.46,0.36,79.36,0.27,18.6,0.7
KOPN-8,Childhood B acute lymphoblastic leukemia,Female,3M,Peripheral blood,2.49,0.0,3.7,80.77,0.0,13.03,0.0
KOSC-2,Floor of mouth squamous cell carcinoma,Male,51Y,"Oral cavity, floor of mouth",3.2,0.0,1.44,72.8,0.0,22.55,0.0
KP-1N,Pancreatic ductal adenocarcinoma,Male,56Y,Pancreas,32.09,0.95,0.39,0.0,65.14,1.14,0.29
KP-2,Pancreatic carcinoma,Female,65Y,Pancreas,2.24,0.0,1.37,79.94,0.0,16.44,0.0
KP-3,Pancreatic adenosquamous carcinoma,Male,75Y,Liver,0.25,0.8,0.33,78.29,0.07,19.41,0.83
KP-4,Pancreatic carcinoma,Male,50Y,Ascites,0.0,0.0,0.0,78.42,1.23,20.35,0.0
KP-N-RT-BM-1,Adrenal gland neuroblastoma,Female,1Y2M,Bone marrow,2.27,0.27,0.43,72.99,0.0,24.04,0.0
KP-N-SI9s,Adrenal gland neuroblastoma,Male,5Y,Left axillary lymph node,0.0,0.0,0.0,75.78,0.0,24.21,0.0
KP-N-YN,Adrenal gland neuroblastoma,Male,2Y,Right pararenal lymph node,0.76,0.15,0.0,73.42,0.0,25.67,0.0
KP-N-YS,Adrenal gland neuroblastoma,Male,4Y,Bone marrow,0.0,1.29,0.0,74.96,0.0,23.74,0.0
KPL-1,Invasive breast carcinoma of no special type,Female,69Y,Pleural effusion,40.02,0.0,2.04,4.61,53.32,0.0,0.0
KS-1 [Human glioblastoma],Glioblastoma,Female,45Y,Brain,0.52,0.0,0.01,74.63,0.0,23.63,1.21
KTCTL-13,Clear cell renal cell carcinoma,Male,57Y,Kidney,20.46,0.52,0.27,1.51,76.23,0.0,1.01
KTCTL-140,Clear cell renal cell carcinoma,Female,65Y,Kidney,33.41,0.77,0.0,2.03,62.07,0.0,1.72
KTCTL-195,Clear cell renal cell carcinoma,Male,46Y,Kidney,33.4,1.71,0.0,0.0,62.95,0.0,1.93
KTCTL-1M,Clear cell renal cell carcinoma,Male,63Y,Kidney,34.35,0.0,0.0,0.0,63.61,0.82,1.22
KTCTL-21,Clear cell renal cell carcinoma,Male,49Y,Unknown,35.62,0.07,0.0,0.03,62.87,0.0,1.41
KTCTL-26A,Clear cell renal cell carcinoma,Male,77Y,Kidney,29.34,0.87,0.0,1.55,66.58,0.0,1.66
KU-19-19,Bladder carcinoma,Male,76Y,Urinary bladder,0.57,0.0,0.0,77.87,0.0,21.55,0.0
Ku812,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,38Y,Peripheral blood,0.42,0.62,0.0,85.34,0.88,12.57,0.16
Kuramochi,High grade ovarian serous adenocarcinoma,Female,Age unspecified,Ascites,2.48,0.0,0.0,85.58,0.0,11.82,0.12
KY821,Acute myelomonocytic leukemia,Male,28Y,"Brain, meninges",0.0,0.0,0.0,76.02,0.0,23.98,0.0
KYAE-1,Esophageal adenocarcinoma,Male,60Y,Pleural effusion,0.0,1.72,0.0,76.1,0.0,22.17,0.0
KYM-1,Embryonal rhabdomyosarcoma,Male,9M,Neck,0.0,0.0,0.0,74.54,0.0,24.94,0.51
KYO-1,"Chronic myelogenous leukemia, BCR-ABL1 positive",Male,22Y,Peripheral blood,5.83,0.0,3.73,78.04,0.0,12.39,0.0
KYSE-140,Esophageal squamous cell carcinoma,Male,54Y,Esophagus,6.23,0.0,3.5,83.8,0.0,6.46,0.0
KYSE-150,Esophageal squamous cell carcinoma,Female,49Y,Esophagus,1.08,0.0,0.41,79.69,0.0,18.82,0.0
KYSE-180,Esophageal squamous cell carcinoma,Male,53Y,Esophagus,0.04,0.0,0.0,75.43,0.0,22.18,2.35
KYSE-220,Esophageal squamous cell carcinoma,Male,78Y,Esophagus,1.15,0.0,0.96,75.9,1.79,20.19,0.0
KYSE-270,Esophageal squamous cell carcinoma,Male,79Y,Esophagus,0.78,0.0,0.0,78.68,0.0,20.54,0.0
KYSE-30,Esophageal squamous cell carcinoma,Male,64Y,Esophagus,0.0,0.0,0.0,75.07,0.0,24.93,0.0
KYSE-410,Esophageal squamous cell carcinoma,Male,51Y,Esophagus,0.0,0.0,0.02,79.58,0.0,19.99,0.41
KYSE-450,Esophageal squamous cell carcinoma,Male,59Y,Esophagus,0.21,0.0,0.35,79.0,0.0,19.85,0.58
KYSE-50,Esophageal squamous cell carcinoma,Male,58Y,Esophagus,0.0,0.0,0.31,73.2,0.0,24.47,2.01
KYSE-510,Esophageal squamous cell carcinoma,Female,67Y,Esophagus,2.16,0.0,0.71,82.59,0.0,14.53,0.0
KYSE-520,Esophageal squamous cell carcinoma,Female,58Y,Esophagus,2.7,1.16,1.52,82.25,0.0,12.37,0.0
KYSE-70,Esophageal squamous cell carcinoma,Male,77Y,Esophagus,0.0,0.0,0.22,75.55,0.0,23.91,0.33
L-1236,Hodgkin lymphoma,Male,34Y,Peripheral blood,27.1,0.0,0.0,1.96,70.78,0.0,0.15
L-363,Plasma cell myeloma,Female,36Y,Peripheral blood,26.89,0.14,0.73,1.89,70.35,0.0,0.0
L-428,Hodgkin lymphoma,Female,37Y,Pleural effusion,28.79,0.0,2.16,3.23,65.81,0.0,0.0
L-540,Hodgkin lymphoma,Female,20Y,Bone marrow,27.46,0.0,0.0,1.11,70.77,0.61,0.05
L3.3,Pancreatic adenosquamous carcinoma,Female,77Y,Celiac axis lymph node,5.87,2.01,82.98,6.2,2.94,0.0,0.0
LA-N-6,Neuroblastoma,Male,6Y,Bone marrow,28.2,23.6,2.47,3.12,42.61,0.0,0.0
LAMA-84,"Chronic myelogenous leukemia, BCR-ABL1 positive",Female,29Y,Peripheral blood,52.05,0.0,14.08,1.13,29.64,1.46,1.64
LB1047-RCC,Renal cell carcinoma,Female,Age unspecified,Lymph node,58.33,0.0,0.9,0.45,20.14,0.0,20.18
LB2241-RCC,Renal cell carcinoma,Male,Age unspecified,Kidney,27.17,1.3,0.0,0.0,69.13,0.65,1.75
LB2518-MEL,Melanoma,Female,Age unspecified,Unknown,34.71,0.0,0.84,0.0,61.82,0.68,1.95
LB373-MEL-D,Melanoma,Female,Age unspecified,Unknown,31.01,0.56,1.8,0.8,65.32,0.0,0.51
LB647-SCLC,Lung small cell carcinoma,Male,Age unspecified,Unknown,32.15,0.14,0.0,0.0,66.53,0.99,0.19
LB771-HNC,Head and neck squamous cell carcinoma,Male,Age unspecified,Unknown,37.83,0.55,0.73,0.07,59.61,0.71,0.51
LB831-BLC,Bladder carcinoma,Male,65Y,Urinary bladder,33.23,0.49,0.0,0.0,63.52,0.01,2.75
LB996-RCC,Renal cell carcinoma,Male,Age unspecified,Kidney,49.72,1.05,0.0,0.0,45.92,0.4,2.91
LC-1/sq,Lung squamous cell carcinoma,Male,69Y,Lung,0.0,0.0,0.33,91.84,0.0,7.55,0.28
LC-1/sq-SF,Lung squamous cell carcinoma,Male,69Y,Lung,0.0,0.0,1.68,96.94,0.0,1.38,0.0
LC-1F,Lung squamous cell carcinoma,Male,69Y,Lung,5.06,0.0,6.24,88.7,0.0,0.0,0.0
LC-2/ad,Lung adenocarcinoma,Female,51Y,Pleural effusion,4.65,0.63,3.51,76.2,0.91,13.98,0.14
LC4-1,Childhood B acute lymphoblastic leukemia,Female,13Y,Unknown,0.0,0.0,0.0,75.57,0.0,23.72,0.71
LCLC-103H,Lung large cell carcinoma,Male,61Y,Pleural effusion,33.55,0.0,1.78,3.13,61.54,0.0,0.0
LCLC-97TM1,Lung large cell carcinoma,Male,44Y,Lung,39.32,0.5,4.96,5.82,49.41,0.0,0.0
Li-7,Adult hepatocellular carcinoma,Male,45Y,Liver,0.0,0.93,0.0,80.68,0.44,17.95,0.0
LIM1215,Colon adenocarcinoma,Male,34Y,Omentum,57.24,0.0,5.72,3.18,26.95,0.0,6.91
LK-2,Lung squamous cell carcinoma,Male,74Y,Lung,1.08,0.0,0.42,82.35,0.0,16.15,0.0
LMSU,Gastric carcinoma,Female,27Y,Lymph node,0.71,0.32,0.29,85.74,0.0,12.36,0.58
LN-18,Glioblastoma,Male,61Y,"Brain, right temporal lobe",41.12,0.22,0.83,3.7,53.19,0.0,0.94
LN-229,Glioblastoma,Female,60Y,"Brain, right frontal parieto-occipital cortex",38.27,0.0,0.0,2.23,59.47,0.0,0.02
LN-235,Astrocytoma,Male,38Y,"Brain, right fronto-temporal lobe",65.09,0.31,3.32,4.46,23.54,0.0,3.28
LN-308,Astrocytoma,Male,60Y,"Brain, right parieto-occipital lobe",52.76,0.47,0.02,2.42,44.33,0.0,0.0
LN-319,Astrocytoma,Male,67Y,"Brain, right temporal lobe",29.81,0.71,1.07,1.65,65.6,0.0,1.15
LN-340,Glioblastoma,Male,57Y,"Brain, right parietal lobe",41.49,0.0,0.66,3.84,54.01,0.0,0.0
LN-382,Glioblastoma,Male,67Y,"Brain, right fronto-parietal lobe",38.35,0.0,0.37,1.0,59.11,0.55,0.62
LN-405,Glioblastoma,Female,61Y,"Brain, left fronto-temporal lobe",38.13,0.0,1.81,1.39,55.54,0.0,3.12
LN-443,Glioblastoma,Female,48Y,"Brain, left parietal lobe",60.91,0.0,3.39,4.23,27.1,0.0,4.37
LNCaP clone FGC,Prostate carcinoma,Male,50Y,Left supraclavicular lymph node,57.41,0.31,2.89,0.0,28.39,2.4,8.61
LNZTA3WT4,Astrocytoma,Male,60Y,"Brain, right parieto-occipital lobe",49.7,1.36,1.42,1.52,44.35,0.0,1.65
LOU-NH91,Lung squamous cell carcinoma,Female,64Y,"Lung, right lower lobe",37.36,0.0,0.6,3.36,58.24,0.0,0.43
Loucy,Adult T acute lymphoblastic leukemia,Female,38Y,Peripheral blood,58.12,0.51,0.63,1.01,26.95,2.78,9.99
LoVo,Colon adenocarcinoma,Male,56Y,Left supraclavicular lymph node,27.34,0.0,0.0,0.0,71.69,0.0,0.96
LOX-IMVI,Amelanotic melanoma,Male,58Y,Axillary lymph node,29.14,0.0,1.11,2.55,67.19,0.0,0.0
LP-1,Plasma cell myeloma,Female,56Y,Peripheral blood,51.44,0.0,0.21,3.2,42.82,0.0,2.32
LS1034,Cecum adenocarcinoma,Male,54Y,Cecum,34.98,1.06,0.0,0.24,62.34,1.27,0.11
LS123,Colon adenocarcinoma,Female,65Y,Colon,28.34,0.0,0.0,1.17,70.48,0.0,0.0
LS180,Colon adenocarcinoma,Female,58Y,Colon,55.48,0.0,1.1,0.33,35.25,0.79,7.05
LS411N,Cecum adenocarcinoma,Male,32Y,Cecum,59.95,0.0,1.71,2.86,27.91,0.0,7.57
LS513,Cecum adenocarcinoma,Male,63Y,"Intestine, ileocecal valve",43.0,0.0,0.3,4.01,52.68,0.0,0.0
Lu-134-A,Lung small cell carcinoma,Male,80Y,Lung,0.0,0.0,0.6,73.6,0.3,23.8,1.7
Lu-135,Lung small cell carcinoma,Male,69Y,Lung,3.52,0.34,1.7,77.4,0.0,17.05,0.0
Lu-139,Lung small cell carcinoma,Male,63Y,Lung,0.0,0.0,1.34,86.97,2.93,5.88,2.89
Lu-165,Lung small cell carcinoma,Male,50Y,Lymph node,0.0,0.53,0.0,28.73,0.0,70.74,0.0
Lu-65,Lung giant cell carcinoma,Male,64Y,Lung,1.17,0.0,0.0,79.97,0.3,18.08,0.48
Lu-99,Lung giant cell carcinoma,Male,63Y,Lung,1.62,0.0,0.25,84.63,0.0,13.5,0.0
Lu-99A,Lung giant cell carcinoma,Male,63Y,Lung,7.13,0.0,5.88,75.94,2.28,8.76,0.0
LUDLU-1,Lung squamous cell carcinoma,Male,72Y,Unknown,37.65,0.66,1.82,3.82,56.05,0.0,0.0
